wordlist,countlist,maxlike,totallike,avelike
dogsofinsta,1,32,32,32
sleepy,1,32,32,32
batpig,1,32,32,32
puppylove,1,32,32,32
ilovedogs,1,32,32,32
instadog,1,32,32,32
adorabull,1,32,32,32
piginablanket,1,32,32,32
frenchiegram,1,32,32,32
sleepybaby,1,32,32,32
frenchiesofinstagram,1,32,32,32
dogstagram,1,32,32,32
ilovemydog,1,32,32,32
fab_frenchies,1,32,32,32
petsofinstagram,1,32,32,32
akc,1,32,32,32
frenchbulldog,1,32,32,32
puppy,1,32,32,32
dogsofig,1,32,32,32
frenchie,1,32,32,32
sleepingbaby,1,32,32,32
moving,1,7,7,7
babebungalo,1,7,7,7
mexicana,1,40,40,40
czechmex,1,40,40,40
faceoff,1,40,40,40
mexinpdx,1,40,40,40
babiesofinstagram,1,40,40,40
baby,1,40,40,40
salsa,1,40,40,40
60s,1,26,26,26
lps,1,26,26,26
creedenceclearwaterrevival,1,26,26,26
collection,1,26,26,26
70s,1,26,26,26
records,1,26,26,26
amiistewart,1,26,26,26
vinyl,1,26,26,26
inxs,1,26,26,26
classics,1,26,26,26
lorettalynn,1,26,26,26
country,1,26,26,26
nazereth,1,26,26,26
foreigner,1,26,26,26
ccr,1,26,26,26
rock,1,26,26,26
80s,1,26,26,26
everydaymusic,1,26,26,26
thebeatles,1,26,26,26
seattlesaturday,1,12,12,12
hipsterheaven,1,12,12,12
airportlife,1,12,12,12
flysaturday,1,12,12,12
airport,3,64,100,33
keepthecarpet,1,12,12,12
hipster,1,12,12,12
koreanfood,1,46,46,46
homecooking,1,46,46,46
포틀랜드,3,46,87,29
집밥,1,46,46,46
yummy,1,8,8,8
latenight,1,8,8,8
late,1,8,8,8
icecream,1,8,8,8
yum,2,138,146,73
night,2,175,183,91
alberta,4,45,101,25
fresh,1,8,8,8
cousin,1,8,8,8
salt,1,8,8,8
healthyfood,1,51,51,51
prettyfood,1,51,51,51
plantbased,1,51,51,51
wholefood,1,51,51,51
traveller,1,51,51,51
sushi,2,138,189,94
tofu,1,51,51,51
herbivore,1,51,51,51
mindfuleating,1,51,51,51
vegansofig,1,51,51,51
avocado,1,51,51,51
veganfood,1,51,51,51
whatvegansdo,1,51,51,51
vegansushi,1,51,51,51
dinner,2,51,52,26
whatveganseat,1,51,51,51
veganfoodshare,1,51,51,51
peppers,1,51,51,51
fitfood,1,51,51,51
portlandnomz,1,51,51,51
aerialshot,1,52,52,52
aerial,1,52,52,52
bosnian,1,52,52,52
bosanci,1,52,52,52
bosanac,1,52,52,52
phantom2,1,52,52,52
bosnians,1,52,52,52
airflow,1,52,52,52
djidrone,1,52,52,52
droning,1,52,52,52
thecrew,1,52,52,52
djiwork,1,52,52,52
albanian,1,52,52,52
droneflow,1,52,52,52
phantomeye,1,52,52,52
localvacation,1,52,52,52
above,1,52,52,52
aerialvideo,1,52,52,52
bules,1,13,13,13
saltandstraw,2,25,38,19
washington,1,28,28,28
mtolympic,1,28,28,28
lovelettertoportland,3,21,43,14
booty,1,7,7,7
dropping,1,7,7,7
values,1,7,7,7
ross,1,7,7,7
planeride,1,7,7,7
lovely,1,7,7,7
organic,1,25,25,25
seasalt,1,25,25,25
handmadeicecream,1,25,25,25
beach,1,28,28,28
2k15meandmaverick,1,28,28,28
삼시세끼,1,20,20,20
goodday,1,45,45,45
happysaturday,1,45,45,45
theyarefunny,1,45,45,45
friends,1,45,45,45
lol,2,45,50,25
hopeyoulikeyourfood,1,2,2,2
homecookin,1,2,2,2
birkenstock,1,11,11,11
hellooregon,1,11,11,11
hipsterseverywhere,1,84,84,84
sbrunsptld,1,84,84,84
landofmypeople,1,84,84,84
frenchkiss,1,36,36,36
sexiestofsexy,1,36,36,36
maryseoutlet,1,36,36,36
10k,1,10,10,10
