wordlist,countlist,maxlike,totallike,avelike
phxcc,1,24,24,24
hollywoodinphoenix,1,7,7,7
historichotel,1,7,7,7
miasmarrow,1,35,35,35
phoenixmercury,1,35,35,35
wnba,1,35,35,35
miasbling,1,35,35,35
rooseveltrow,1,10,10,10
plexusworldwide,4,35,104,26
plexusforlife,3,35,83,27
plexusslim,4,35,101,25
plexus,4,35,101,25
plexusconvention2015,3,35,83,27
nationaldonutday,1,23,23,23
theydidnotexpectmycunning,1,18,18,18
theredgrasshopper,1,18,18,18
elchapulíncolorado,1,18,18,18
nocontabanconmiastucia,1,18,18,18
beautiful,2,144,211,105
loveit,1,144,144,144
travel,1,144,144,144
explore,1,144,144,144
ihavetogo,1,144,144,144
phxart,1,44,44,44
postthepeople,1,44,44,44
vscocam,4,51,150,37
vsco,3,51,114,38
findjackie,1,39,39,39
bff,1,39,39,39
sheknowsmetowell,1,39,39,39
drinkfloatie,1,39,39,39
phoenixnights,1,39,39,39
goodtimes,2,39,54,27
dosxx,2,39,71,35
asu,1,7,7,7
alumni,1,7,7,7
summernights,1,7,7,7
burtonbarr,1,8,8,8
comingsoon,1,13,13,13
elprivadoshow,1,13,13,13
latenightdrives,1,11,11,11
peaceful,1,11,11,11
guess,1,8,8,8
food❓,1,8,8,8
unicorn,1,8,8,8
texasrangers,1,5,5,5
nomnom,1,5,5,5
arizonahiking,1,55,55,55
camelbackmountain,1,55,55,55
legojello,1,21,21,21
everythingisawesome,1,21,21,21
yummy,1,21,21,21
legos,1,21,21,21
unclesal,2,8,15,7
buzz,1,8,8,8
thebenz,1,7,7,7
devil,1,7,7,7
tacoguild,1,7,7,7
heytarl,1,18,18,18
lisastl,1,18,18,18
noexcuses,1,18,18,18
livehealthy,1,18,18,18
breakfastclubphoenix,1,18,18,18
notadiet,1,18,18,18
plantvsfish,1,18,18,18
plexusonfleek,1,18,18,18
sahm,1,18,18,18
gem,1,18,18,18
mlb,1,30,30,30
mets,3,30,49,16
newyork,2,30,41,20
newyorkmets,2,30,58,29
baseball,3,51,109,36
nym,1,30,30,30
stotzequipment,1,37,37,37
onlyinphx,1,37,37,37
nationalhugyourcatday,1,31,31,31
meowmix,1,31,31,31
kittymeows,1,31,31,31
cat,1,31,31,31
beautifulbigbird,1,25,25,25
longasstail,1,25,25,25
heneverspreadhistailforme,1,25,25,25
bird,1,25,25,25
sissythatwalk,1,22,22,22
thatguy,1,22,22,22
rpdr,1,22,22,22
roylady,1,22,22,22
se7en,1,9,9,9
goodtime,1,9,9,9
bloody,1,9,9,9
yummmmm,1,4,4,4
jackfire,1,4,4,4
dontdoitbrian,1,4,4,4
darkknight,1,8,8,8
happyharveyday,1,8,8,8
believeinharvey,1,8,8,8
roadwarrior,1,8,8,8
metropolitans,1,11,11,11
happybarfday,1,19,19,19
activechild,3,9,20,6
fauvism,1,67,67,67
artdaily,1,67,67,67
oil,1,67,67,67
contemporaryart,1,67,67,67
inflatable,1,67,67,67
artstagram,1,67,67,67
eroticart,1,67,67,67
expressionism,1,67,67,67
